Bit,RF_importance,N_present,Difference,Cohens_d,p_value,FDR_q_value,CI_95_low,CI_95_high,Adjusted_bit_coefficient,Baseline_R2,Extended_R2,Delta_R2,Drug_ID,SMILES,Atom_Index,Radius
Bit_623,0.0092690427550542,52,-0.9217019747669006,-1.23289877740462,5.691256451013506e-09,6.695595824721772e-09,-1.1836759207515597,-0.6597280287822416,-1.1612026318544273,0.5740119465116861,0.5825080052301359,0.0084960587184498,,,,
Bit_82,0.0082014903618278,23,-1.3081955288613294,-1.7442493844608755,4.71368279954602e-08,5.2374253328289106e-08,-1.6308486907323616,-0.9855423669902972,-1.495527568353742,0.5740119465116861,0.5789834673701038,0.0049715208584176,,,,
Bit_1290,0.0068134295590671,38,-1.012838882991307,-1.3491064270461373,2.33985548402475e-09,3.1198073120330003e-09,-1.2719784296238554,-0.7536993363587587,-0.9232060758240906,0.5740119465116861,0.576895117414359,0.0028831709026728,,,,
Bit_550,0.0062348890452598,33,-1.2466601684910694,-1.680498359277928,4.3475103438406945e-11,7.904564261528534e-11,-1.5053639669254022,-0.9879563700567366,-1.099685962291444,0.5740119465116861,0.5737443526917951,-0.0002675938198909,,,,
