Model,Mean_R2,Std_R2,Mean_RMSE,Std_RMSE,Mean_MAE,Std_MAE
RDKit Descriptors,0.7158946505158099,0.029681956132996814,0.4113780219946885,0.021703872825759092,0.31815316180829195,0.010268396592147093
Morgan Fingerprints,0.6612460153504838,0.05040954347837163,0.4483374402665509,0.03443640632601643,0.33556431878266746,0.024340753949909536
Combined Descriptors + Morgan,0.7454657348837452,0.02583875954824463,0.3894832077088771,0.02172087972244975,0.30048162939750356,0.014831626535846206
