,importance
Bit_381,0.00043501903578065164
Bit_1808,0.0004342995736510539
Bit_1441,0.00043410655809095357
Bit_1312,0.00043321713060914916
Bit_1803,0.00043121364923836696
Bit_2034,0.00043115617937817825
Bit_507,0.0004306947087733949
Bit_953,0.00042953021076204726
Bit_1682,0.00042796039670239523
Bit_716,0.00042709900370878194
Bit_617,0.0004269745546721431
Bit_1409,0.0004266609195490063
Bit_1048,0.0004264457697440936
Bit_1633,0.0004257202080516194
Bit_955,0.0004251230680962402
Bit_787,0.0004238880696798881
Bit_501,0.0004234958110805972
Bit_1538,0.00042293958051902277
Bit_1172,0.00042127768115098806
Bit_1101,0.00042080133698192695
Bit_242,0.0004199512696397098
Bit_1458,0.00041959108223251813
Bit_1401,0.00041927936636783526
Bit_106,0.0004178326744956604
Bit_992,0.0004177343760878374
Bit_1210,0.000416654741340054
Bit_94,0.0004164697792297162
Bit_680,0.00041537564893807624
Bit_1154,0.00041378828412120893
Bit_143,0.00041376797792528236
Bit_1601,0.0004110542261700048
Bit_173,0.00040944081024600376
Bit_1679,0.0004085233452452451
Bit_1366,0.00040765520705386384
Bit_1360,0.0004071886567278795
Bit_1784,0.0004071024552040073
Bit_65,0.0004052960985442305
Bit_1645,0.00040489690656782197
Bit_692,0.00040425037721455504
Bit_299,0.0004033803620425796
Bit_1568,0.00040260629868057004
Bit_504,0.00040157918339699437
Bit_1547,0.000400450565169279
Bit_1130,0.00040031174187889684
Bit_307,0.0004000223118019146
Bit_1842,0.0003999901909068436
Bit_493,0.00039911718410577874
Bit_1680,0.00039892641667091334
Bit_490,0.0003988632199800063
Bit_1647,0.000396700749916777
Bit_624,0.0003965302891522516
Bit_1473,0.00039420510083771997
Bit_1225,0.00039374838538374545
Bit_1996,0.0003936078010414638
Bit_345,0.00039353334027779986
Bit_385,0.0003935098263989352
Bit_1168,0.0003930335775400965
Bit_575,0.00039258140866352015
Bit_2044,0.0003895319357140104
Bit_1749,0.00038940679215815897
Bit_647,0.0003883535405344862
Bit_1089,0.0003875874046434246
Bit_169,0.00038747182333903304
Bit_432,0.0003871538744395105
Bit_207,0.0003851662226625623
Bit_552,0.00038415571449159323
Bit_1998,0.000381690011665628
Bit_268,0.0003804398574035659
Bit_892,0.0003803739853148669
Bit_1585,0.0003803261452878334
Bit_1902,0.0003802622671106756
Bit_325,0.00038024919880552
Bit_563,0.00038020004336956144
Bit_235,0.0003798380188811121
Bit_2039,0.0003795412851531661
Bit_940,0.0003785390643559913
Bit_2033,0.0003782296515541359
Bit_369,0.0003773897023137155
Bit_762,0.0003771946460985169
Bit_645,0.00037598111217897244
Bit_239,0.00037490970922654
Bit_1250,0.00037485110677611767
Bit_1229,0.00037325178930246595
Bit_1261,0.0003732168135342603
Bit_1078,0.0003714736145298455
Bit_118,0.00037105037758683544
Bit_679,0.0003688877528341814
Bit_1823,0.00036859998437605094
Bit_558,0.00036656129906799585
Bit_1120,0.00036602545930043755
Bit_155,0.00036471885087419086
Bit_1375,0.00036453907126694833
Bit_1583,0.00036413082044499075
Bit_708,0.00036338249356479996
Bit_1102,0.00036329317421207114
Bit_952,0.00036316784816214616
Bit_949,0.0003630224778476831
Bit_1648,0.00036209761861415553
Bit_184,0.0003607558277111947
Bit_448,0.0003595643446683545
Bit_9,0.00035883285461103847
Bit_1178,0.00035775900484642537
Bit_643,0.00035618352768780924
Bit_1305,0.00035583933558497755
Bit_491,0.00035530798403886056
Bit_1021,0.0003552356293967864
Bit_379,0.00035458107094967075
Bit_833,0.00035449467834564106
Bit_409,0.00035409433605665847
Bit_263,0.0003513955191453102
Bit_1649,0.0003513154512119633
Bit_1862,0.00035122207648836197
Bit_1628,0.0003511146387403248
Bit_366,0.000350229925301792
Bit_1436,0.0003500784405633161
Bit_333,0.00035005080360595535
Bit_996,0.0003500406237336691
Bit_928,0.00034966462631254666
Bit_2035,0.00034958902361725103
Bit_1555,0.00034671503177518393
Bit_1820,0.00034658251608241927
Bit_968,0.0003450402000550278
Bit_0,0.00034459093655816325
Bit_556,0.00034318901983424567
Bit_258,0.00034309170601848837
Bit_87,0.000342847807952899
Bit_1631,0.0003414852487104023
Bit_1877,0.0003414698067659796
Bit_240,0.0003412949974476191
Bit_600,0.0003412688066779058
Bit_150,0.0003411808872008549
Bit_1174,0.0003411731046820895
Bit_592,0.0003400784614664471
Bit_622,0.00033923397267278084
Bit_2038,0.0003390422844707732
Bit_804,0.00033760751225400546
Bit_1138,0.0003371905502012576
Bit_1995,0.0003369788965630002
Bit_1939,0.00033688803097332886
Bit_597,0.0003360943171382514
Bit_1640,0.0003357752534401045
Bit_127,0.0003347204809190552
Bit_950,0.00033404824133262656
Bit_978,0.00033328901426344775
